Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Series,Color,Resolution,Weight,USB,Battery,Graphics,Disk_size,Card_desc,Price
"ALIENWARE 17 R4 17.3"" 4K UHD~GTX 1080~I7-7820HK~8GB~128GB SSD+1TB HDD",Alienware,17.3 Inches,Core i7,8 GB,Windows 10,5.0,AW 17 R4,Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1080,128 GB,Dedicated,"$2,899.98"
"Alienware AWAUR6-5468SLV-PUS Gaming Desktop, Intel Core i5 (up to 3.5GHz), 8GB, 1TB HDD, RX 480 Graphics, Epic Silver",Alienware,nan,Core i5,8 GB,Windows 10 Home,3.8,AWAUR6-5468SLV-PUS,Epic Silver,nan,nan,nan,nan,nan,nan,nan,nan
2016 ALIENWARE 17 R4,Alienware,17.3 Inches,Core i7,32 GB,Windows 10 64bits Pro,5.0,Alienware 17 R4,Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1080,1 TB,Dedicated,"$2,794.81"
"2019_Dell Alien.Ware Gaming Desktop, 8th Gen Intel Core i7-8700, 16GB RAM, 256GB SSD+2TB HDD, Wireless+Bluetooth, NVIDIA GeForce RTX 2070 8GB GDDR6, HDMI，Window 10",Dell,15.6 Inches,Core i7,16 GB,Windows 10,5.0,Dell,nan,nan,nan,nan,nan,nan,nan,nan,"$2,499.00"
Alienware 15 (1920 X 1080)~i7-4710 GTX 980m 4gb DDR5~16gb Ram~1T HDD Win 8,Dell,15 Inches,Core i7,16 GB,Windows 8,4.0,nan,nan,1080p,nan,nan,nan,NVIDIA GeForce GTX 980M,1 TB,Dedicated,"$1,099.81"
"Dell Alienware Area 51M Laptop, 17.3 FHD (1920 x 1080), 9th Gen Intel Core i7-9700K, 16GB RAM, 256GB SSD + 1TB SSHD, NVIDIA GeForce RTX 2070, Windows 10 Home (Renewed)",Alienware,17.3 Inches,Unknown,16 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2070,256 GB,Dedicated,nan
"Dell Alienware Area 51M Laptop, 17.3-inch FHD (1920 x 1080), 9th Gen Intel Core i9-9900K, 32GB (2x16GB) RAM, 2X 256GB SSD (0) + 1TB SSHD, NVIDIA GeForce RTX 2070, Windows 10 Pro (Renewed)",Alienware,17.3 Inches,Unknown,32 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2070,1512 GB,Dedicated,nan
"Dell Alienware 15 R2 Intel Core i7-6700HQ X4 2.6GHz 16GB 1TB 15.6"" Win10,Black",Alienware,15.6 Inches,Unknown,16 GB,Windows 10,,Alienware 15 R2 (2015),nan,nan,nan,nan,nan,NVIDIA GeForce GTX 970M,1000 GB,Dedicated,nan
"Alienware Alpha ASM100-1580 Console (Intel Core i3-4130T 2.9 GHz, 4GB DDR3, 500GB HDD, Windows 8) (Discontinued by Manufacturer)",Dell,nan,nan,nan,nan,4.0,Desktop Only,Console,nan,nan,nan,nan,nan,nan,nan,nan
"Dell Alienware Area 51M Laptop, 17.3-inch FHD (1920 x 1080), 9th Gen Intel Core i9-9900, 32GB RAM, 2 X 256GB SSD (R0) + 1TB (+8GB) SSHD, NVIDIA GeForce RTX 2080, Windows 10 (Renewed)",Alienware,17.3 Inches,Unknown,32 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,1512 GB,Dedicated,nan
"Dell Alienware Area 51M Laptop, 17.3 FHD (1920 x 1080), 9th Gen Intel Core i7-9700K, 16GB (2x8GB) RAM, 256GB SSD 1TB (8GB SSHD) SSHD, NVIDIA GeForce RTX 2080, Windows 10 (Renewed)",Alienware,17.3 Inches,Unknown,16 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,1256 GB,Dedicated,nan
"Dell Alienware Area 51M Laptop, 17.3-inch FHD (1920 x 1080), 9th Gen Intel Core i7-9900K, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 2060, Windows 10 (Renewed)",Alienware,17.3 Inches,Unknown,16 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2060,512 GB,Dedicated,nan
"Dell Alienware M15 Laptop, 15.6-inch FHD (1920 x 1080), 8th Gen Intel Core i7-8750H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 2070, Windows 10 (Renewed)",Alienware,15.6 Inches,Unknown,16 GB,Windows 10,,Dell Alienware M15,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2070,512 GB,Dedicated,nan
"Dell Alienware Area 51M Laptop, 17.3 FHD (1920 x 1080), 9th Gen Intel Core i7-9700K, 32GB (2x16GB) RAM, 2TB (2X 1TB RAID 0) SSD, NVIDIA GeForce RTX 2080, Windows 10 (Renewed)",Alienware,17.3 Inches,Unknown,32 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,2 TB,Dedicated,nan
"Alienware Gaming AW17R5-7405SLV-PUS 8th Gen Intel Core i7 Processor Laptop, 8GB RAM, 1TB Hard Drive plus 8GB SSD, NVIDIA GeForce GTX 1060, 17.3"" Full HD Display, Epic Silver",Alienware,17.3 Inches,Intel Core i7,nan,Windows 10 Home,4.0,nan,Epic Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1060,1000 GB,"Integrated, Dedicated","$1,699.95"
"MSI GF63 Thin 9SC-068 15.6"" Gaming Laptop, Thin Bezel, Intel Core i5-9300H, NVIDIA GeForce GTX1650, 8GB, 256GB NVMe NVMe SSD",MSI,15.6 Inches,Core i5,8 GB,Windows 10 Home,4.6,GF63 THIN 9SC-068,Black,nan,nan,nan,nan,NVIDIA GeForce GTX 1650,256 GB,Dedicated,$586.98
"Alienware AW15R3-10881SLV Laptop (6th Generation i7, 16GB RAM, 256GB + 1TB HDD) NVIDIA GeForce GTX1070",Alienware,15.6 Inches,Core i7 6700,16 GB,Windows 10,3.6,Alienware 15 R3,Epic Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1070,1000 GB,"NVIDIA GTX 1070, Dedicated","$1,599.81"
"Asus ROG Zephyrus G14 VR Ready Gaming Laptop, 14"" 144Hz Full HD IPS Display, 8 Cores AMD Ryzen 9 5900HS,NVIDIA GeForce RTX 3060, Moonlight White-Tikbot Accessories (16GB RAM |1TB PCIe SSD)",ASUS,14 Inches,Ryzen 9,16 GB,Windows 10,4.0,ROG Zephyrus G14,Moonlight White,nan,nan,nan,nan,NVIDIA GeForce RTX3060 Max-Q,1 TB,Dedicated,"$1,099.00"
"Alienware New Aurora R11 Gaming Desktop, Intel i7-10700KF, NVIDIA GeForce RTX 2080 Super 8GB GDDR6, 512GB SSD + 1TB SATA HDD, 16GB DDR4 XMP, Windows 10 Home, AWAUR11-7088BLK-PUS",Alienware,0.1 Inches,Core i7,8 GB,Windows 10 Home,4.3,Aurora R11,nan,nan,nan,nan,nan,nan,nan,nan,"$3,299.00"
"Dell Alienware Area 51M Laptop, 17.3 FHD (1920 x 1080), 9th Gen Intel Core i9-9900K, 32GB (2x16GB) RAM, 2 X 256GB SSD (R0) + 1TB SSHD, NVIDIA GeForce RTX 2080, Windows 10 (Renewed)",Alienware,17.3 Inches,Unknown,32 GB,Windows 10,,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,1512 GB,Dedicated,nan
"Alienware M15-15.6"" FHD Gaming Laptop Thin and Light, i7-8750H Processor, NVIDIA GeForce Graphics Card, 16GB RAM, 1TB Hybrid HDD + 128GB SSD, 17.9mm Thick & 4.78lbs (Renewed)",Alienware,15.6 Inches,Core i7 8750H,16 GB,Windows 10 Home,4.6,AWm15-7830SLV-PUS,nan,nan,nan,nan,nan,NVIDIA GeForce GTX 1060,1000 GB,Dedicated,nan
"Alienware AW15R3-7002SLV-PUS 15.6"" Gaming Laptop (7th Generation Intel Core i7, 8GB RAM, 256 SSD, Silver) with NVIDIA GTX 1060",Alienware,15.6 Inches,nan,8 GB,Windows 10,3.4,AW15R3-7002SLV-PUS,Epic Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1060,nan,Dedicated,nan
"Alienware ALW18-7500sLV 18.4-Inch Laptop (2.4 GHz Intel Core i7-4700MQ Processor, 8GB DDR3L, 1TB HDD, 80GB SSD, Dual NVIDIA GeForce GTX 770M 3GB GDDR5, Windows 7 Home Premium)",Alienware,18.4 Inches,Core i7-4700MQ,8 GB,Windows 7 Home Premium 64-bit,4.0,Alienware,nan,nan,nan,nan,nan,Dual NVIDIA® GeForce® GTX 770M with 3GB GDDR5 - NVIDIA SLI® Enabled,1024 GB,Dedicated,"$1,999.95"
"Dell Alienware Area 51M Laptop, 17.3"" FHD (1920 x 1080) 144Hz G-Sync Tobii Eye, 9th Gen Intel Core i7-9700K, 16GB RAM, 256GB SSD + 1TB SSHD, NVIDIA GeForce RTX 2080, Windows 10 Home",Alienware,17.3 Inches,Core i7,16 GB,Windows 10,3.3,Dell Alienware Area 51M,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,1256 GB,Dedicated,"$3,699.95"
"Alienware m15 R5 Gaming Laptop: Ryzen 7 5800H, GeForce RTX 3070, 16GB RAM, 512GB SSD, 15.6"" 165Hz Full HD Display, Backlit Keyboard",Alienware,15.6 Inches,Ryzen 7,16 GB,Windows 10 Home,5.0,M15 R5,Gray,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,512 GB,Dedicated,nan
"Alienware X14 R1 Laptop i7-12700H 32G 1TB RTX 3060 14"" FHD 144Hz (Renewed)",Alienware,14 Inches,Core i7,32 GB,Windows 11 Home,,Alienware X14 R1,White,nan,nan,nan,nan,nan,1 TB,Integrated,nan
"Alienware New M15 Gaming Laptop, 15.6"" 144hz FHD Display, Intel Core i7-9750H, NVIDIA RTX 2060 6GB, 512GB SSD, 16GB RAM, AWYA15-7947BLK-PUS",Alienware,15.6 Inches,Core i7 Family,6 GB,Windows 10 Home,4.2,AWYA15-7947BLK-PUS,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 2060,512 GB,Dedicated,"$1,569.81"
"Alienware M15 Gaming Laptop, 9th Gen Intel Core i7-9750H, 15. 6"" FHD 1920x1080 144Hz IPS, 16GB DDR4, 2666MHz, 512GB SSD, NVIDIA GeForce GTX 1660 6GB GDDR6 (Renewed)",Alienware,15.6 Inches,Core i7 Family,16 GB,Windows 10 Home,5.0,Alienware m15,nan,nan,nan,nan,nan,NVIDIA GeForce GTX 1660,512 GB,Dedicated,nan
Acer Nitro AN515 Gaming Laptop Six Core Intel i5-11400H up to 4.5Ghz 8GB 256GB SSD 15.6in Full HD HDMI Backlit Keyboard Nvidia 4GB Win 11 (Renewed),Acer,15.6 Inches,Intel Core i5,8 GB,Windows 11,3.8,Nitro,Black,nan,nan,nan,nan,Intel,256 GB,Integrated,nan
"ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6â€  240Hz FHD, GeForce RTX 3070, Intel Core i7-11375H, 16GB DDR4, 1TB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Moonlight White, TUF516PR-DS77-WH",ASUS,15.6,Core i7,16 GB,Windows 10 Home,4.3,TUF Dash 15 (2021),Moonlight White,nan,nan,nan,nan,nan,1 TB,RTX 3070,"$1,369.47"
"Alienware 15 UHD 15.6-Inch Touchscreen Gaming Laptop (Intel Core i7 4710HQ, 16 GB RAM, 1 TB HDD + 256 GB SSD, Silver and Black) NVIDIA GeForce GTX 970M with 3GB GDDR5",Alienware,15.6 Inches,Core i7,16 GB,Windows 8,3.3,Alienware 15,nan,nan,nan,nan,nan,NVIDIA GeForce GTX 970M,1 TB,Dedicated,"$1,299.81"
"Alienware X15 R2 Gaming Laptop - 15.6-inch FHD 360Hz 1ms Display, Core i9-12900H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070Ti 8GB GDDR6, USB-C, Killer WiFi 6, Windows 11 Home - Lunar Light",Alienware,15.6 Inches,nan,16 GB,Windows 11 Home,,nan,nan,1080p,nan,nan,nan,nan,nan,nan,nan
"Alienware M15 15.6"" Gaming Notebook - 1920 x 1080 - Core i7 i7-8750H - 16 GB RAM - 512 GB SSD - Epic Silver - Windows 10 Home 64-bit - NVIDIA GeForce RTX 2070 with 8 GB - in-Plane Switching (IPS)",Alienware,15.6 Inches,8032,16 GB,Windows 10 Home,4.2,Wnorn5chm152h,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2070 Max-Q,512 GB,Dedicated,nan
"MSI Pulse GL66 Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD, Win10, Black (11UGK-001)",MSI,15.6 Inches,Core i7,16 GB,Windows 10 Home,4.6,Pulse GL66 11UGK-001,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,512 GB,RTX 3070,"$1,199.00"
Alienware M17 Gaming Notebook | 8th Gen Intel Core i7-8750H 6-Core | 17.3 Inch FHD 1920x1080 60Hz IPS | 16GB 2666MHz DDR4 RAM | 512GB SSD| NVIDIA GeForce RTX 2070 Max Q,Alienware,17 Inches,Core i7 Family,16 GB,Windows 10 Home,4.1,Alienware m 17,Silver,nan,nan,nan,nan,NVIDIA GeForce RTX 2070,512 GB,Dedicated,"$1,699.95"
"Alienware AW15R3-7338SLV-PUS 15.6"" Gaming Laptop (7th Generation Intel Core i7, 16GB RAM, 256SSD + TB HDD, Silver) VR Ready with NVIDIA GTX 1060",Alienware,15.6 Inches,Core i7,16 GB,Windows 10 Home,4.0,nan,Epic Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1060,1000 GB,Dedicated,"$1,399.81"
"Alienware m15 R7 Gaming Laptop - 15.6-inch QHD (2560 x 1440) 240Hz, Core i7-12700H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070 Ti 8GB GDDR6, Bluetooth, HDMI, USB-C, Wi-Fi 6, Windows 11 Home – Black",Alienware,15.6 Inches,Core i7 Family,16 GB,Windows 11 Home,,Alienware M15 R7,Dark Side of the Moon,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Ti,1 TB,Dedicated,"$2,499.00"
"Alienware Dell m15 R1 15.6'' FHD 144Hz Laptop, Intel Core i7, 16GB RAM, 512GB SSD, GeForce RTX 2070 8GB GDDR6 with Max-Q Design, Thunderbolt, HDMI, Windows 10 (RTX 2070)",Alienware,15.6 Inches,Core i7 Family,16 GB,Windows 10,4.2,R1,Black,nan,nan,nan,nan,Intel,512 GB,Integrated,nan
"Alienware m15 R3 15.6"" FHD 300Hz 3ms 300nits Gaming Laptop, Intel Octa-Core i7-10875H up to 5.1GHz, 32GB DDR4 RAM, 1TB PCIe SSD, GeForce RTX 2080 Super 8GB GDDR6, WiFi 6, Cryo-Tech Cooling, Windows 10",Alienware,15.6 Inches,Core i7,32 GB,Windows 10,5.0,M15,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,1 TB,Dedicated,"$2,799.00"
"[Windows 11] Alienware m15 R5 GeForce RTX 3070 8GB GDDR6 15.6"" 360Hz FHD Gaming Laptop, Octa-Core AMD Ryzen 9 5900HX (Beat i9-11980HK), 16GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Bluetooth 5.2, RGB Keyboard",Alienware,15.6 Inches,AMD Ryzen 9 5900X,16 GB,Windows 11,5.0,M15,Dark side of the moon,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,2 TB,Dedicated,nan
"Newest Alienware m15 R5 15.6"" 360Hz 1ms FHD Gaming Laptop, AMD Ryzen 9 5900HX (8 cores), GeForce RTX 3070, 64GB RAM, 2TB PCIe SSD, HDMI, WiFi 6, RGB Keyboard, Win 11 Home, Dark Side of The Moon",Dell,15.6 Inches,Ryzen 9,64 GB,Windows 11,3.8,M,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,2 TB,GeForce RTX 3070,"$1,899.00"
"ASUS TUF F15 Gaming Laptop, 15.6""  144Hz FHD IPS-Type Display, Intel Core i5-10300H Processor, GeForce GTX 1650, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506LH-AS51",ASUS,15.6 Inches,Core i5,8 GB,Windows 11 Home,4.6,ASUS TUF Gaming F15,Bonfire Black,nan,nan,nan,nan,nan,512 GB,Dedicated,$614.99
"Alienware [Windows 11] m15 R5 GeForce RTX 3070 8GB GDDR6 Gaming Laptop, 15.6"" 165Hz 3ms FHD, Octa-Core AMD Ryzen 7 5800H (Beat i7-11370H), 64GB DDR4, 2TB PCIe SSD, WiFi 6, Bluetooth 5.2, RGB Keyboard",Alienware,15.6 Inches,AMD Ryzen 7 5800H,64 GB,Windows 11,3.8,M15,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,2 TB,Dedicated,nan
"Alienware m15 R3 Gaming Laptop, 15.6"" FHD 300Hz 3ms 300-nits 100% sRGB, Intel 8-Cores i7-10875H up to 5.1GHz, 32GB DDR4 RAM, 2TB PCIe SSD, RTX 2080 Super 8GB GDDR6, WiFi 6, Cryo-Tech Cooling, Win10",Alienware,15.6 Inches,Core i7,32 GB,Windows 10,3.0,M15,White,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,2 TB,Dedicated,"$2,999.00"
"Acer 2022 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",Acer,15 Inches,Celeron,4 GB,Chrome OS,4.4,IPS Chromebook,Dale Silver,nan,nan,nan,nan,nan,32 GB,Integrated,nan
"Dell Alienware Area 51M Laptop, 17.3 inches FHD (1920 x 1080), 9th Gen Intel Core i9-9900K, 64GB (4x16GB) RAM, 2 X 512GB SSD (RAID0) + 1TB SSHD, NVIDIA GeForce RTX 2080, Windows 10 (Renewed)",Alienware,17.3 Inches,Unknown,16 GB,Windows 10,1.0,Dell Alienware Area 51M,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 2080,2 TB,Dedicated,nan
"2019 Dell Alienware 17 R5 17.3"" FHD VR Ready Gaming Laptop Computer, 8th Gen Intel Hexa-Core i7-8750H up to 4.1GHz, 32GB DDR4, 512GB SSD, GTX 1070 8GB, 802.11ac WiFi, Bluetooth 5.0, HDMI, Windows 10",Alienware,17.3 Inches,Core i7,32 GB,Windows 10,5.0,17 R5,nan,nan,nan,nan,nan,NVIDIA GeForce GTX 1070,512 GB,Dedicated,"$1,594.95"
"Acer Aspire 5 A515-45-R74Z Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 5 5500U Hexa-Core Mobile Processor | AMD Radeon Graphics | 8GB DDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | Windows 11 Home",Acer,15.6 Inches,AMD Ryzen 5 5500U,8 GB,Windows 11,4.5,Aspire 5,Silver,nan,nan,nan,nan,nan,256 GB,Integrated,$484.00
"ALIENWARE 17R4 17.3"" R4 i7 7700HQ 16GB 1T HDD + 128GB SSD GTX 1070",Alienware,17.3 Inches,Core i7,16 GB,Windows 10 Home,3.5,Alienware R4 17,Silver / black,nan,nan,nan,nan,NVIDIA GeForce GTX 1070,nan,Dedicated,"$1,299.81"
"Alienware M15 R6 Gaming Laptop, 15.6 inch QHD 240Hz Display, Intel Core i7-11800H, 32GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3080 8GB GDDR6, Windows 11 Home, Dark Side of The Moon",Alienware,15.6 Inches,Core I7 11800H,nan,nan,4.5,nan,nan,1080p,nan,3,nan,nan,nan,nan,"$2,214.85"
"Alienware M15 R5 Gaming Laptop, 15.6 inch FHD 360Hz 1ms Display, AMD Ryzen R9 5900HX (Beats Core i7-11800H), 32GB DDR4 RAM, 1TB NVMe SSD, NVIDIA GeForce RTX 3070, Windows 11, Dark Side of The Moon",Alienware,15.6 Inches,Core I7 11800H,32 GB,Windows 10,3.3,M15 R5,Black,nan,nan,nan,nan,Intel Iris Xe Graphics,1 TB,Dedicated,"$1,725.00"
"Alienware M15 R6 VR Ready Gaming Laptop - 15.6 inch QHD Display, 240Hz Refresh Rate, Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3070 8GB GDDR6, Windows 11- Black",Alienware,15.6 Inches,Core i7 Family,16 GB,Windows 11,4.2,Alienware m15 R6,Black,nan,nan,nan,nan,NVIDIA® GeForce RTX™ 3070 8 GDDR6,512 GB,RTX 3070,nan
"Alienware X17 R2 VR Ready Gaming Laptop - 17.3-inch FHD 360Hz 1ms Display, Core i7-12700H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070Ti 8GB GDDR6, Bluetooth, Wi-Fi 6, USB-C, Windows 11 Home - White",Alienware,17.3 Inches,Core i7 Family,16 GB,Windows 11 Home,4.5,Alienware x17 R2,Lunar Light,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Ti,1 TB,Integrated,"$3,399.00"
"Alienware m15 R7 Gaming Laptop - 15.6-inch 240Hz 2ms QHD, Intel Core i9-12900H, 32GB DDR5 RAM, 1TB SSD, NVIDIA Geforce RTX 3080 Graphics, Killer AX 1675i with Dell services, Windows 11 Home - Dark",Alienware,15.6 Inches,Core i9,32 GB,Windows 11 Home,4.1,Alienware m15 R7,Dark Side of the Moon,nan,nan,nan,nan,nan,1 TB,Dedicated,nan
"Alienware M15 R6 Gaming Laptop - 15.6-inch FHD (1920 x 1080) 1ms 360Hz Display, Intel Core i7-11800H, 32GB DDR4 RAM, 1TB SSD, NVIDIA RTX 3070 8GB Graphics, Windows 11 Home - Black",Alienware,15.6 Inches,Core I7 11800H,32 GB,Windows 11 Home,4.5,Alienware M15 R6,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,1 TB,NVIDIA GeForce RTX 3070,"$1,449.00"
"Alienware m15 R3 Gaming Laptop: Core i7-10750H, NVIDIA RTX 2070 Super, 15.6"" Full HD 300Hz Display, 16GB RAM, 512GB SSD",Alienware,15.6 Inches,Core i7,16 GB,Windows 10,4.2,M15 R3,Black,nan,nan,nan,nan,NVIDIA RTX 2070 Super,512 GB,Dedicated,"$1,599.95"
"Alienware X14 R1 Laptop i7-12700H 32G 1TB RTX 3060 14"" FHD 144Hz",Alienware,14 Inches,Core i7,32 GB,Windows 11 Home,5.0,Alienware X14 R1,White,nan,nan,nan,nan,nan,1 TB,Integrated,"$2,187.49"
Acer Nitro AN515 Gaming Laptop Six Core Intel i5-11400H up to 4.5Ghz 8GB 256GB SSD 15.6in Full HD HDMI Backlit Keyboard Nvidia 4GB Win 11 (Renewed),Acer,15.6 Inches,Intel Core i5,8 GB,Windows 11,3.8,Nitro,Black,nan,nan,nan,nan,Intel,256 GB,Integrated,nan
"Alienware AW15R3-5246SLV-PUS 15.6"" Gaming Laptop (7th Generation Intel Core i5, 8GB RAM, 1TB HDD, Silver) VR Ready with NVIDIA GTX 1060",Alienware,15.6 Inches,nan,8 GB,Windows 10 Home,4.0,AW15R3-5246SLV-PUS,Epic Silver,nan,nan,nan,nan,NVIDIA GeForce GTX 1060,1000 GB,Dedicated,"$1,699.00"
"Dell Alienware X17 R1 Gaming Laptop (2021) | 17.3"" FHD | Core i9 - 2TB SSD - 32GB RAM - RTX 3080 | 8 Cores @ 5 GHz - 11th Gen CPU - 10GB GDDR6X Win 10 Home",Dell,17.3 Inches,Core i9,32 GB,Windows 10 Home,5.0,Alienware X17 R1 Laptop,Lunar Light,nan,nan,nan,nan,NVIDIA GeForce RTX 3080,2000 GB,Dedicated,"$6,599.00"
"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 256GB SSD - Sandstone",Microsoft,12.4 Inches,Core i5-1035G1,8 GB,Windows 10 S,4.6,Surface Laptop Go,Sandstone,nan,nan,nan,nan,Intel UHD Graphics,256 GB,Integrated,$699.00
"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",Acer,15.6 Inches,Core i5,8 GB,Windows 10 Home,4.6,Nitro 5,Black,nan,nan,nan,nan,NVIDIA GeForce GTX 1650,256 GB,Dedicated,$669.00
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464",MSI,15.6 Inches,Core i7,16 GB,Windows 11 Home,4.4,Pulse GL66,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,nan,nan,"$1,298.96"
"Alienware M15 R5 Gaming Laptop, 15.6 inch FHD 360Hz 1ms G-SYNC Display, AMD Ryzen R9 5900HX, GeForce RTX 3070, 64GB RAM, 2TB NVMe SSD, Killer WiFi, RGB Keyboard, Windows 11, Dark Side of The Moon",Dell,15.6 Inches,nan,nan,nan,3.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,"$2,299.99"
"Alienware X15 R1 VR Ready Gaming Laptop - 15.6 inch 360Hz FHD 1080p Display, NVIDIA GeForce RTX 3070, Intel Core i7-11800H (11th Gen), 16GB DDR4 RAM, 1TB SSD, Wi-Fi 6, Windows 11 Home - Lunar Light",Alienware,15.6 Inches,Core i7 Family,16 GB,RTX 3070,4.0,Alienware x15 R1,White,nan,nan,nan,nan,nan,1 TB,RTX 3070,nan
"Alienware m15 R4 Gaming Laptop, 15.6 inch Full HD (FHD) - Intel Core i7-10870H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 10 Home - Lunar Light",Alienware,15.6 Inches,Core i7,16 GB,Windows 10 Home,4.5,Alienware m15 R4,White,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,512 GB,NVIDIA RTX3060,"$1,499.95"
"MSI GE76 Raider 17.3"" 144Hz Gaming Laptop Intel Core i7-11800H RTX3060 16GB 1TB NVMe SSD Win11 - Blue (11UE-1056)",MSI,17.3 Inches,Core i7,16 GB,Windows 11 Home,3.9,GE76 Raider 11UE-1056,Blue,nan,nan,nan,nan,nan,1 TB,Dedicated,"$1,356.29"
"MSI Prestige 14 EVO 14"" FHD Ultra Thin and Light Professional Laptop Intel Core i7-1185G7 Intel Iris Xe 32GB DDR4 1TB NVMe SSD Win10Home - Gray (A11MO-217)",MSI,14 Inches,Core i7,32 GB,Windows 10,4.0,Prestige 14Evo A11MO-217,Gary,nan,nan,nan,nan,Intel Iris Xe Graphics,nan,Integrated,$715.00
"MSI 2022 GE76 Raider 17.3"" 144 Hz FHD Gaming Laptop 14-Core Intel i7-12700H 32GB DDR5 1TB NVMe SSD NVIDIA GeForce RTX3060 6GB WiFi AX HDMI RJ45 Thunberbolt4 Backlit DTS RGB Windows 11 Pro w/ RE USB",MSI,17.3 Inches,Core I7 11800H,32 GB,Windows 11 Pro,4.8,GE76 12UE,Titanium Blue,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,1 TB,Dedicated,"$1,664.99"
"MSI Vector GP76 17.3"" FHD 360Hz Gaming Laptop: Intel Core i9-12900HK RTX 3080 32GB 1TB NVMe SSD , Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UH-617",MSI,17.3 Inches,Core i9,32 GB,Windows 11 Home,4.7,Vector GP76 12UH-617,Core Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3080,1 TB,Dedicated,"$2,314.19"
